"","SWSN_ID","Site","SWSN_Ware","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"1",665,"Aragon","Cibola White Ware",0,0,0,0,0,0,0,0,0,0,0.9564,1.3227,1.4897,1.565,1.5276,1.3778,0.7608,0,0,0
"2",665,"Aragon","Early White Mountain Red Ware",0,0,0,0,0,0,0,0,0,0,0.1109,0.3066,0.5501,0.7356,0.7042,0.4548,1.1374,0,0,0
"3",708,"Aztec","Chuska White Ware",0,0,0,0,0,0,0,0,0,0,25.3818,27.5247,13.5379,3.9872,8.0047,10.3509,7.9236,5.4121,3.8776,0
"4",708,"Aztec","Cibola White Ware",0,0,0,0,0,0,0,0,0,0,125.7609,145.8625,262.6711,369.2466,337.5636,294.4177,233.2931,173.964,146.2205,0
"5",708,"Aztec","Early White Mountain Red Ware",0,0,0,0,0,0,0,0,0,0,34.1426,62.4172,85.3368,101.4641,113.4793,77.2065,53.4149,58.7502,74.7883,0
"6",708,"Aztec","Hopi White Ware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1576,0.4016,0.3196,0.1212,0,0
"7",708,"Aztec","Mesa Verde White Ware",0,0,0,0,0,0,0,0,0,0,101.2161,180.6664,245.0165,290.5893,330.2331,526.4638,842.5464,876.643,553.6256,0
"8",708,"Aztec","Mimbres White Ware",0,0,0,0,0,0,0,0,0,0,0.3419,0.4215,0.2165,0.02,0,0,0,0,0,0
"9",708,"Aztec","Tsegi Orange Ware",0,0,0,0,0,0,0,0,0,0,6.4238,17.5288,27.6118,31.7242,32.2632,24.2217,12.8532,7.6193,8.7538,0
"10",708,"Aztec","Tusayan White Ware",0,0,0,0,0,0,0,0,0,0,4.7754,6.1306,7.7299,8.4005,6.6138,3.6266,0.7233,0,0,0
"11",720,"Pueblo Pintado","Chuska White Ware",0,0,0,0,0,0,0,0,2.7129,3.2071,3.9109,3.9746,2.9187,1.8957,1.5136,1.24,0.9763,0.7385,0.5368,0.375
"12",720,"Pueblo Pintado","Cibola White Ware",0,0,0,0,0,0,0,0,178.7197,109.0069,101.1169,121.5056,117.9373,85.5112,49.4391,35.8695,28.6605,23.6536,19.2159,15.3641
"13",720,"Pueblo Pintado","Early White Mountain Red Ware",0,0,0,0,0,0,0,0,0.6463,1.4185,2.2818,2.69,2.3336,1.5098,0.7569,0.1225,0.0983,0.0707,0.0455,0.0262
"14",720,"Pueblo Pintado","Mesa Verde White Ware",0,0,0,0,0,0,0,0,9.7342,10.1713,12.3084,15.9611,19.41,22.2877,22.7982,23.3593,26.7424,23.7478,11.4207,1.0588
"15",720,"Pueblo Pintado","San Juan Red Ware",0,0,0,0,0,0,0,0,0.6915,0.3085,0,0,0,0,0,0,0,0,0,0
"16",720,"Pueblo Pintado","Tusayan White Ware",0,0,0,0,0,0,0,0,0.2161,0.4724,0.7645,0.9155,0.8119,0.5327,0.2588,0.0281,0,0,0,0
"17",727,"Morris 39","Chuska White Ware",0,0,0,1.231,0.9111,1.6691,1.5176,0.7294,0.2788,0.6026,0.6417,0.3381,0.0807,0,0,0,0,0,0,0
"18",727,"Morris 39","Cibola White Ware",0,0,0,1.7293,3.8438,6.5042,8.1315,7.1605,4.9647,3.2635,3.2364,3.6995,3.2477,1.8186,0.3373,0.0631,0,0,0,0
