LRP_ID,Standard_LRP_Stamp,Sort_of_Stamp,LRP_Stamp_Lower_Date,LRP_Stamp_Upper_Date
1,LRP-GROUP I,,360,450
2,LRP-GROUP II,,440,490
3,LRP-GROUP IIA,,440,490
4,LRP-GROUP IIB,,440,490
5,LRP-GROUP IIB-C,,440,490
6,LRP-GROUP III,,470,580
7,LRP-GROUP II-III,,440,580
8,LRP-MOTIF,,,
9,LRP-MOTIF 1,"""Palm-branch""",360,450
10,LRP-MOTIF 12,"""Lotus-bud""",440,490
11,LRP-MOTIF 12l,"""Lotus-bud""",440,490
12,LRP-MOTIF 13,"""'Onion'""",440,490
13,LRP-MOTIF 14,"""'Almond'""",440,490
14,LRP-MOTIF 15,"""Seven-petalled rosette""",440,490
15,LRP-MOTIF 16,"""Lozenge with volutes""",440,490
16,LRP-MOTIF 17,"""Lozenge with volutes"" ""with four pelta-shaped motifs""",440,540
17,LRP-MOTIF 17w,"""Lozenge with volutes"" ""with four pelta-shaped motifs""",440,540
18,LRP-MOTIF 19,"""S-scroll""",440,580
19,LRP-MOTIF 22,"""Cable-pattern between two lines""",440,490
20,LRP-MOTIF 24,"""Linked lozenges and triangles""",440,580
21,LRP-MOTIF 25,"""Interweave pattern""",470,580
22,LRP-MOTIF 26,"""Figure-of-eight and key pattern""",440,490
23,LRP-MOTIF 29,"""Sole of shoe""",440,490
24,LRP-MOTIF 2b,"""Concentric circle[s]"" (two)",360,450
25,LRP-MOTIF 32,"""Quatrefoil""",470,580
26,LRP-MOTIF 33,"""Four double volutes in circle""",470,580
27,LRP-MOTIF 34,"""Cross on lozenge""",440,580
28,LRP-MOTIF 35,"""Hare""",440,490
29,LRP-MOTIF 35b-d,"""Hare""",465,490
30,LRP-MOTIF 35l-v,"""Hare""",440,490
31,LRP-MOTIF 35o,"""Hare""",440,490
32,LRP-MOTIF 35p,"""Hare""",440,490
33,LRP-MOTIF 35t,"""Hare""",440,490
34,LRP-MOTIF 35w,"""Hare""",470,510
35,LRP-MOTIF 37,"""Lion""",470,580
36,LRP-MOTIF 38,"""'Lioness', pacing""",425,500
37,LRP-MOTIF 41,"""Stag""",470,580
38,LRP-MOTIF 41g,"""Stag""",470,580
39,LRP-MOTIF 43,"""Horse/mule/zebra""",470,580
40,LRP-MOTIF 45,"""Dolphin""",440,580
41,LRP-MOTIF 45n-o,"""Dolphin""",440,580
42,LRP-MOTIF 45p,"""Dolphin""",440,580
43,LRP-MOTIF 46,"""Chick""",,
44,LRP-MOTIF 46a,"""'Chick'""",440,490
45,LRP-MOTIF 47/48,"""Peacock""",440,580
46,LRP-MOTIF 48,"""Peacock, later type""",470,580
47,LRP-MOTIF 5,"""Small lentoid leaf""",360,450
48,LRP-MOTIF 50,"""Long-tailed birds (peahens?)""",470,510
49,LRP-MOTIF 53,"""Running figure""",470,580
50,LRP-MOTIF 55,"""Man holding bunch of grapes""",470,580
51,LRP-MOTIF 56,"""'Emperor', saluting""",470,580
52,LRP-MOTIF 58,"""Priest, in 'orans' position""",470,580
53,LRP-MOTIF 59,Cantharos,440,580
54,LRP-MOTIF 59-60,"""Canthari""",500,525
55,LRP-MOTIF 6,"""'Star of David'""",440,490
56,LRP-MOTIF 61,"""Cross-monogram with closed rho""",440,580
57,LRP-MOTIF 63,"""Cross-monogram [...] with open rho""",470,580
58,LRP-MOTIF 65,"""Double-ribbed cross-monogram with A and ?""",475,500
59,LRP-MOTIF 66,"""Cross-monogram with A and ?""",440,580
