Standard_Form_ID,Standard_Form,Fabric,Standard_Typo_chronological_Lower_Date,Standard_Typo_chronological_Upper_Date
1,Consp,ITS,,
2,Consp,ITS Arezzo,,
3,Consp,ITS Arezzo?,,
4,Consp,ITS Arezzo-Pisa-Lyon,,
5,Consp,ITS Arezzo-Po Valley,,
6,Consp,ITS Central Italy,,
7,Consp,ITS Central Italy?,,
8,Consp,ITS Etruria?,,
9,Consp,ITS Etruria-Lyon,,
10,Consp,ITS Lyon,,
11,Consp,ITS Pisa,,
12,Consp,ITS Pisa?,,
13,Consp,ITS Pisa-Lyon,,
14,Consp,ITS Po Valley,,
15,Consp,ITS Puteoli,,
16,Consp,ITS Puteoli?,,
17,Consp,ITS Torrita di Siena,,
18,Consp,ITS Vasanello,,
19,Consp1.1-2,ITS,-40,-10
20,Consp10.1,ITS,-27,-1
21,Consp11,ITS,-10,-1
22,Consp11.1,ITS,-10,-1
23,Consp11.1.4,ITS,-10,-1
24,Consp12,ITS,-10,14
25,Consp12.1,ITS,-10,-1
26,Consp12.1,ITS Arezzo,-10,-1
27,Consp12.1.1,ITS,-10,-1
28,Consp12.1-2,ITS,-10,14
29,Consp12.1-3,ITS,-10,14
30,Consp12.2,ITS,-10,14
31,Consp12.2.1,ITS,-10,14
32,Consp12.3,ITS,-10,14
33,Consp12.3,ITS Arezzo,-10,14
34,Consp12.3.1,ITS,-10,14
35,Consp12.3.2,ITS,-10,14
36,Consp12.3-4,ITS,-10,14
37,Consp12.4,ITS,1,14
38,Consp12.5,ITS,1,14
39,Consp12.5.2,ITS,1,14
40,Consp13,ITS,-10,-1
41,Consp13.1,ITS,-10,-1
42,Consp13.2,ITS,-10,-1
43,Consp13.3,ITS,-10,-1
44,Consp13-17,ITS,-27,37
45,Consp14,ITS,-10,14
46,Consp14.1,ITS,-10,-1
47,Consp14.1,ITS Arezzo?,-10,-1
48,Consp14.1.2,ITS,-10,-1
49,Consp14.2,ITS,-10,14
50,Consp14.2,ITS Arezzo,-10,-1
51,Consp14.2,ITS Pisa,-10,14
52,Consp14.2.2,ITS,-10,14
53,Consp14.2.3,ITS,-10,14
54,Consp14.3.1,ITS,1,14
55,Consp14.4,ITS,-10,14
56,Consp15,ITS,-10,14
57,Consp15.1,ITS,-10,14
58,Consp17,ITS,-20,37
59,Consp18,ITS,-10,37
60,Consp18,ITS Arezzo,-10,37
61,Consp18.1,ITS,-10,37
62,Consp18.1.1,ITS,-10,37
63,Consp18.1.2,ITS,-10,37
64,Consp18.2,ITS,-10,37
65,Consp18.2,ITS Arezzo,-10,37
66,Consp18.2,ITS Pisa?,-10,37
67,Consp18.2,ITS Puteoli,-10,37
68,Consp18.2.1,ITS,-10,37
69,Consp18.2.1,ITS Arezzo,-10,37
70,Consp18.2.2,ITS,-10,37
71,Consp18.2.3,ITS,-10,37
72,Consp18.2.4,ITS,-10,37
73,Consp18.2-3,ITS,-10,37
74,Consp18.3,ITS,-10,37
75,Consp19,ITS,1,37
76,Consp19.2,ITS,1,37
77,Consp19.2,ITS Arezzo,1,37
78,Consp19.2,ITS Pisa?,1,37
79,Consp19.2,ITS Puteoli,1,37
80,Consp19.2.1,ITS,1,37
81,Consp19.3,ITS,1,37
82,Consp19.3.2,ITS,1,37
83,Consp2.1-3,ITS,-40,-10
84,Consp2/11,ITS,-40,-1
85,Consp20,ITS,-27,96
86,Consp20.1,ITS,-27,45
87,Consp20.1.2,ITS,-27,45
88,Consp20.2,ITS,1,50
89,Consp20.2-4,ITS,1,96
90,Consp20.3,ITS,1,30
91,Consp20.3.1,ITS,1,30
92,Consp20.3.1,ITS Arezzo,1,30
93,Consp20.3.2,ITS,1,30
94,Consp20.3-4,ITS,1,96
95,Consp20.4,ITS,25,96
96,Consp20.4,ITS Arezzo,25,96
97,Consp20.4,ITS Central Italy?,25,96
98,Consp20.4,ITS Pisa,25,96
99,Consp20.4.1,ITS,25,96
100,Consp20.4.1,ITS Arezzo?,25,96
101,Consp20.4.2,ITS,25,96
