"Standard_Form_ID","Fabric","Location_ID","Location_specific","Fabric_ID","Longitude","Latitude","Standard_Typo_chronological_Lower_Date","Standard_Typo_chronological_Upper_Date","Freq"
19,"ITS",63,"Carthage",70,10.32340778,36.84837212,-40,-10,2
20,"ITS",11,"Aigeira",70,22.377887,38.1297925,-27,-1,2
20,"ITS",62,"Caesarea Maritima",70,34.89144722,32.50231111,-27,-1,2
21,"ITS",41,"Athens",70,23.72551566,37.97652567,-10,-1,3
21,"ITS",91,"Ephesos",70,27.34283611,37.93897778,-10,-1,3
22,"ITS",331,"Patras",70,21.73823889,38.24363611,-10,-1,3
22,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,-1,3
23,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,-1,1
24,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,14,4
24,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,14,4
24,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,14,4
24,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,14,4
25,"ITS",208,"Myos Hormos",70,34.24139444,26.15664167,-10,-1,6
25,"ITS",16,"Alexandreia",70,29.90791467,31.19824567,-10,-1,6
25,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,-10,-1,6
25,"ITS",11,"Aigeira",70,22.377887,38.1297925,-10,-1,6
25,"ITS",91,"EPH-Oktogon",70,27.34283611,37.93897778,-10,-1,6
25,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,-1,6
26,"ITS Arezzo",41,"Athens",71,23.72551566,37.97652567,-10,-1,1
27,"ITS",121,"Jerusalem",70,35.23474835,31.7774646,-10,-1,5
27,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,-1,5
27,"ITS",41,"Athens",70,23.72551566,37.97652567,-10,-1,5
27,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,-1,5
27,"ITS",208,"Myos Hormos",70,34.24139444,26.15664167,-10,-1,5
28,"ITS",336,"Petra",70,35.441944,30.328611,-10,14,1
29,"ITS",68,"Cyrene",70,21.85655469,32.82034855,-10,14,1
30,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,14,5
30,"ITS",91,"Ephesos",70,27.34283611,37.93897778,-10,14,5
30,"ITS",62,"Caesarea Maritima",70,34.89144722,32.50231111,-10,14,5
31,"ITS",387,"Stobi",70,21.975475,41.55244167,-10,14,1
32,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,-10,14,7
32,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,14,7
32,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,14,7
33,"ITS Arezzo",57,"Berenice",71,20.08988333,32.10930278,-10,14,2
33,"ITS Arezzo",369,"Scythopolis",71,35.502531,32.501706,-10,14,2
34,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,14,2
34,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,14,2
35,"ITS",91,"Ephesos",70,27.34283611,37.93897778,-10,14,1
36,"ITS",121,"Jerusalem",70,35.23474835,31.7774646,-10,14,3
36,"ITS",216,"Oboda",70,34.774147,30.794321,-10,14,3
36,"ITS",122,"Kabirion",70,23.25512222,38.3184,-10,14,3
37,"ITS",34,"Argos",70,22.719464,37.631561,1,14,2
37,"ITS",387,"Stobi",70,21.975475,41.55244167,1,14,2
38,"ITS",330,"Paphos",70,32.406593,34.757212,1,14,2
38,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,1,14,2
39,"ITS",132,"Kenchreai",70,22.99278333,37.88234167,1,14,2
39,"ITS",66,"Corinth",70,22.880125,37.90548611,1,14,2
40,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,-1,3
40,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,-1,3
41,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,-1,1
42,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,-1,1
43,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,-10,-1,1
44,"ITS",63,"Carthage",70,10.32340778,36.84837212,-27,37,1
45,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,14,6
45,"ITS",41,"Athens",70,23.72551566,37.97652567,-10,14,6
45,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,14,6
45,"ITS",16,"Alexandreia",70,29.90791467,31.19824567,-10,14,6
46,"ITS",34,"Argos",70,22.719464,37.631561,-10,-1,3
46,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,-1,3
46,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,-10,-1,3
47,"ITS Arezzo?",66,"Corinth",72,22.880125,37.90548611,-10,-1,1
48,"ITS",331,"Patras",70,21.73823889,38.24363611,-10,-1,1
49,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,14,4
49,"ITS",409,"Tarsos",70,34.898228,36.914956,-10,14,4
49,"ITS",34,"Argos",70,22.719464,37.631561,-10,14,4
50,"ITS Arezzo",66,"Corinth",71,22.880125,37.90548611,-10,-1,1
51,"ITS Pisa",57,"Berenice",84,20.08988333,32.10930278,-10,14,2
52,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,14,1
53,"ITS",208,"Myos Hormos",70,34.24139444,26.15664167,-10,14,1
54,"ITS",41,"Athens",70,23.72551566,37.97652567,1,14,1
55,"ITS",41,"Athens",70,23.72551566,37.97652567,-10,14,1
56,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,14,1
57,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,14,7
57,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,14,7
57,"ITS",151,"Lepcis Magna",70,14.29433501,32.63672617,-10,14,7
57,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,14,7
57,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,14,7
57,"ITS",34,"Argos",70,22.719464,37.631561,-10,14,7
58,"ITS",91,"Ephesos",70,27.34283611,37.93897778,-20,37,3
58,"ITS",41,"Athens",70,23.72551566,37.97652567,-20,37,3
58,"ITS",139,"Knossos",70,25.16361111,35.29788056,-20,37,3
59,"ITS",328,"Palaityr/Tell 'Arqa",70,36.04621944,34.53098889,-10,37,10
59,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,37,10
59,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,37,10
59,"ITS",41,"Athens",70,23.72551566,37.97652567,-10,37,10
59,"ITS",91,"EPH-Hanghaus 2-Wohneinheit 4",70,27.34283611,37.93897778,-10,37,10
59,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,37,10
60,"ITS Arezzo",41,"Athens",71,23.72551566,37.97652567,-10,37,3
60,"ITS Arezzo",63,"Carthage",71,10.32340778,36.84837212,-10,37,3
61,"ITS",34,"Argos",70,22.719464,37.631561,-10,37,2
61,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,37,2
62,"ITS",327,"Palai-86D-59",70,32.579086,34.7053255,-10,37,2
62,"ITS",327,"Palaipaphos Area",70,32.579086,34.7053255,-10,37,2
63,"ITS",336,"Petra",70,35.441944,30.328611,-10,37,4
63,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,37,4
63,"ITS",327,"Palai-86E-68",70,32.579086,34.7053255,-10,37,4
64,"ITS",102,"Gortyn",70,24.95023611,35.05932222,-10,37,79
64,"ITS",122,"Kabirion",70,23.25512222,38.3184,-10,37,79
64,"ITS",59,"Berytus",70,35.511241,33.8985935,-10,37,79
64,"ITS",11,"Aigeira",70,22.377887,38.1297925,-10,37,79
64,"ITS",121,"Jerusalem",70,35.23474835,31.7774646,-10,37,79
64,"ITS",28,"Apamea",70,36.40246944,35.41738889,-10,37,79
64,"ITS",63,"Carthage",70,10.32340778,36.84837212,-10,37,79
64,"ITS",139,"Knossos",70,25.16361111,35.29788056,-10,37,79
64,"ITS",208,"Myos Hormos",70,34.24139444,26.15664167,-10,37,79
64,"ITS",331,"Patras",70,21.73823889,38.24363611,-10,37,79
64,"ITS",66,"Corinth",70,22.880125,37.90548611,-10,37,79
64,"ITS",351,"Qana",70,49.123406,14.534337,-10,37,79
64,"ITS",39,"Ashkelon",70,34.55436111,31.66669722,-10,37,79
64,"ITS",26,"Antiocheia ad Orontem",70,36.161749,36.20138,-10,37,79
64,"ITS",364,"Samaria-Sebaste",70,35.190436,32.276529,-10,37,79
64,"ITS",216,"Oboda",70,34.774147,30.794321,-10,37,79
64,"ITS",57,"Berenice",70,20.08988333,32.10930278,-10,37,79
64,"ITS",330,"Paphos",70,32.406593,34.757212,-10,37,79
64,"ITS",91,"Ephesos",70,27.34283611,37.93897778,-10,37,79
64,"ITS",387,"Stobi",70,21.975475,41.55244167,-10,37,79
64,"ITS",35,"Arikamedu",70,79.81831,11.89876,-10,37,79
64,"ITS",19,"Amathous",70,33.14297222,34.71178056,-10,37,79
64,"ITS",34,"Argos",70,22.719464,37.631561,-10,37,79
