"Var1","Var2","value","statistic","metric"
1,"S100",0.21,"value","clustering coefficient"
2,"S100",0.31,"value","clustering coefficient"
3,"S100",0.29,"value","clustering coefficient"
4,"S100",0.26,"value","clustering coefficient"
5,"S100",0.28,"value","clustering coefficient"
6,"S100",0.24,"value","clustering coefficient"
7,"S100",0.31,"value","clustering coefficient"
8,"S100",0.27,"value","clustering coefficient"
9,"S100",0.29,"value","clustering coefficient"
10,"S100",0.24,"value","clustering coefficient"
11,"S100",0.26,"value","clustering coefficient"
12,"S100",0.27,"value","clustering coefficient"
13,"S100",0.28,"value","clustering coefficient"
14,"S100",0.21,"value","clustering coefficient"
15,"S100",0.27,"value","clustering coefficient"
16,"S100",0.22,"value","clustering coefficient"
17,"S100",0.29,"value","clustering coefficient"
18,"S100",0.24,"value","clustering coefficient"
19,"S100",0.27,"value","clustering coefficient"
20,"S100",0.26,"value","clustering coefficient"
21,"S100",0.27,"value","clustering coefficient"
22,"S100",0.28,"value","clustering coefficient"
23,"S100",0.22,"value","clustering coefficient"
24,"S100",0.31,"value","clustering coefficient"
25,"S100",0.22,"value","clustering coefficient"
26,"S100",0.24,"value","clustering coefficient"
27,"S100",0.27,"value","clustering coefficient"
28,"S100",0.26,"value","clustering coefficient"
29,"S100",0.27,"value","clustering coefficient"
30,"S100",0.28,"value","clustering coefficient"
31,"S100",0.27,"value","clustering coefficient"
32,"S100",0.31,"value","clustering coefficient"
33,"S100",0.27,"value","clustering coefficient"
34,"S100",0.27,"value","clustering coefficient"
35,"S100",0.28,"value","clustering coefficient"
1,"S90",0.2,"value","clustering coefficient"
2,"S90",0.28,"value","clustering coefficient"
3,"S90",0.26,"value","clustering coefficient"
4,"S90",0.23,"value","clustering coefficient"
5,"S90",0.26,"value","clustering coefficient"
6,"S90",0.23,"value","clustering coefficient"
7,"S90",0.28,"value","clustering coefficient"
8,"S90",0.23,"value","clustering coefficient"
9,"S90",0.26,"value","clustering coefficient"
10,"S90",0.21,"value","clustering coefficient"
11,"S90",0.22,"value","clustering coefficient"
12,"S90",0.25,"value","clustering coefficient"
13,"S90",0.25,"value","clustering coefficient"
14,"S90",0.21,"value","clustering coefficient"
15,"S90",0.25,"value","clustering coefficient"
16,"S90",0.2,"value","clustering coefficient"
17,"S90",0.26,"value","clustering coefficient"
18,"S90",0.22,"value","clustering coefficient"
19,"S90",0.25,"value","clustering coefficient"
20,"S90",0.23,"value","clustering coefficient"
21,"S90",0.25,"value","clustering coefficient"
22,"S90",0.26,"value","clustering coefficient"
23,"S90",0.2,"value","clustering coefficient"
24,"S90",0.29,"value","clustering coefficient"
25,"S90",0.19,"value","clustering coefficient"
26,"S90",0.23,"value","clustering coefficient"
27,"S90",0.24,"value","clustering coefficient"
28,"S90",0.24,"value","clustering coefficient"
29,"S90",0.24,"value","clustering coefficient"
30,"S90",0.25,"value","clustering coefficient"
31,"S90",0.25,"value","clustering coefficient"
32,"S90",0.28,"value","clustering coefficient"
33,"S90",0.24,"value","clustering coefficient"
34,"S90",0.25,"value","clustering coefficient"
35,"S90",0.27,"value","clustering coefficient"
1,"S80",0.2,"value","clustering coefficient"
2,"S80",0.26,"value","clustering coefficient"
3,"S80",0.24,"value","clustering coefficient"
4,"S80",0.22,"value","clustering coefficient"
5,"S80",0.22,"value","clustering coefficient"
6,"S80",0.2,"value","clustering coefficient"
7,"S80",0.23,"value","clustering coefficient"
8,"S80",0.21,"value","clustering coefficient"
9,"S80",0.24,"value","clustering coefficient"
10,"S80",0.2,"value","clustering coefficient"
11,"S80",0.2,"value","clustering coefficient"
12,"S80",0.22,"value","clustering coefficient"
13,"S80",0.22,"value","clustering coefficient"
14,"S80",0.17,"value","clustering coefficient"
15,"S80",0.19,"value","clustering coefficient"
16,"S80",0.15,"value","clustering coefficient"
17,"S80",0.24,"value","clustering coefficient"
18,"S80",0.21,"value","clustering coefficient"
19,"S80",0.22,"value","clustering coefficient"
20,"S80",0.22,"value","clustering coefficient"
21,"S80",0.22,"value","clustering coefficient"
22,"S80",0.22,"value","clustering coefficient"
23,"S80",0.18,"value","clustering coefficient"
24,"S80",0.23,"value","clustering coefficient"
25,"S80",0.18,"value","clustering coefficient"
26,"S80",0.2,"value","clustering coefficient"
27,"S80",0.22,"value","clustering coefficient"
28,"S80",0.2,"value","clustering coefficient"
29,"S80",0.23,"value","clustering coefficient"
30,"S80",0.23,"value","clustering coefficient"
31,"S80",0.2,"value","clustering coefficient"
32,"S80",0.23,"value","clustering coefficient"
33,"S80",0.22,"value","clustering coefficient"
34,"S80",0.22,"value","clustering coefficient"
35,"S80",0.22,"value","clustering coefficient"
1,"S70",0.18,"value","clustering coefficient"
2,"S70",0.25,"value","clustering coefficient"
3,"S70",0.22,"value","clustering coefficient"
4,"S70",0.17,"value","clustering coefficient"
5,"S70",0.19,"value","clustering coefficient"
6,"S70",0.18,"value","clustering coefficient"
7,"S70",0.21,"value","clustering coefficient"
8,"S70",0.2,"value","clustering coefficient"
9,"S70",0.21,"value","clustering coefficient"
10,"S70",0.19,"value","clustering coefficient"
11,"S70",0.17,"value","clustering coefficient"
12,"S70",0.19,"value","clustering coefficient"
13,"S70",0.22,"value","clustering coefficient"
14,"S70",0.16,"value","clustering coefficient"
15,"S70",0.19,"value","clustering coefficient"
16,"S70",0.16,"value","clustering coefficient"
17,"S70",0.21,"value","clustering coefficient"
18,"S70",0.16,"value","clustering coefficient"
19,"S70",0.21,"value","clustering coefficient"
20,"S70",0.19,"value","clustering coefficient"
21,"S70",0.2,"value","clustering coefficient"
22,"S70",0.19,"value","clustering coefficient"
23,"S70",0.18,"value","clustering coefficient"
24,"S70",0.24,"value","clustering coefficient"
25,"S70",0.15,"value","clustering coefficient"
26,"S70",0.19,"value","clustering coefficient"
27,"S70",0.19,"value","clustering coefficient"
28,"S70",0.17,"value","clustering coefficient"
29,"S70",0.17,"value","clustering coefficient"
30,"S70",0.21,"value","clustering coefficient"
31,"S70",0.18,"value","clustering coefficient"
32,"S70",0.2,"value","clustering coefficient"
33,"S70",0.19,"value","clustering coefficient"
34,"S70",0.17,"value","clustering coefficient"
35,"S70",0.19,"value","clustering coefficient"
1,"S60",0.14,"value","clustering coefficient"
2,"S60",0.17,"value","clustering coefficient"
3,"S60",0.17,"value","clustering coefficient"
4,"S60",0.17,"value","clustering coefficient"
5,"S60",0.17,"value","clustering coefficient"
6,"S60",0.13,"value","clustering coefficient"
7,"S60",0.16,"value","clustering coefficient"
8,"S60",0.17,"value","clustering coefficient"
9,"S60",0.19,"value","clustering coefficient"
10,"S60",0.13,"value","clustering coefficient"
11,"S60",0.15,"value","clustering coefficient"
12,"S60",0.18,"value","clustering coefficient"
13,"S60",0.18,"value","clustering coefficient"
