"Var1","Var2","value","statistic","metric"
2,"S90",0.93,"median","degree centrality"
3,"S90",0.94,"median","degree centrality"
4,"S90",0.95,"median","degree centrality"
5,"S90",0.95,"median","degree centrality"
6,"S90",0.93,"median","degree centrality"
7,"S90",0.93,"median","degree centrality"
8,"S90",0.94,"median","degree centrality"
9,"S90",0.94,"median","degree centrality"
10,"S90",0.95,"median","degree centrality"
11,"S90",0.95,"median","degree centrality"
12,"S90",0.95,"median","degree centrality"
13,"S90",0.95,"median","degree centrality"
14,"S90",0.9,"median","degree centrality"
15,"S90",0.94,"median","degree centrality"
16,"S90",0.93,"median","degree centrality"
17,"S90",0.94,"median","degree centrality"
18,"S90",0.95,"median","degree centrality"
19,"S90",0.95,"median","degree centrality"
20,"S90",0.95,"median","degree centrality"
21,"S90",0.95,"median","degree centrality"
22,"S90",0.95,"median","degree centrality"
23,"S90",0.85,"median","degree centrality"
24,"S90",0.92,"median","degree centrality"
25,"S90",0.92,"median","degree centrality"
26,"S90",0.95,"median","degree centrality"
27,"S90",0.95,"median","degree centrality"
28,"S90",0.95,"median","degree centrality"
29,"S90",0.95,"median","degree centrality"
30,"S90",0.95,"median","degree centrality"
31,"S90",0.91,"median","degree centrality"
32,"S90",0.92,"median","degree centrality"
33,"S90",0.95,"median","degree centrality"
34,"S90",0.95,"median","degree centrality"
35,"S90",0.95,"median","degree centrality"
2,"S80",0.86,"median","degree centrality"
3,"S80",0.88,"median","degree centrality"
4,"S80",0.89,"median","degree centrality"
5,"S80",0.9,"median","degree centrality"
6,"S80",0.85,"median","degree centrality"
7,"S80",0.86,"median","degree centrality"
8,"S80",0.87,"median","degree centrality"
9,"S80",0.88,"median","degree centrality"
10,"S80",0.89,"median","degree centrality"
11,"S80",0.89,"median","degree centrality"
12,"S80",0.9,"median","degree centrality"
13,"S80",0.9,"median","degree centrality"
14,"S80",0.8,"median","degree centrality"
15,"S80",0.87,"median","degree centrality"
16,"S80",0.85,"median","degree centrality"
17,"S80",0.88,"median","degree centrality"
18,"S80",0.89,"median","degree centrality"
19,"S80",0.9,"median","degree centrality"
20,"S80",0.9,"median","degree centrality"
21,"S80",0.9,"median","degree centrality"
22,"S80",0.9,"median","degree centrality"
23,"S80",0.74,"median","degree centrality"
24,"S80",0.84,"median","degree centrality"
25,"S80",0.86,"median","degree centrality"
26,"S80",0.89,"median","degree centrality"
27,"S80",0.89,"median","degree centrality"
28,"S80",0.89,"median","degree centrality"
29,"S80",0.9,"median","degree centrality"
30,"S80",0.9,"median","degree centrality"
31,"S80",0.82,"median","degree centrality"
32,"S80",0.84,"median","degree centrality"
33,"S80",0.89,"median","degree centrality"
34,"S80",0.9,"median","degree centrality"
35,"S80",0.9,"median","degree centrality"
2,"S70",0.8,"median","degree centrality"
3,"S70",0.81,"median","degree centrality"
4,"S70",0.84,"median","degree centrality"
5,"S70",0.84,"median","degree centrality"
6,"S70",0.79,"median","degree centrality"
7,"S70",0.79,"median","degree centrality"
8,"S70",0.8,"median","degree centrality"
9,"S70",0.81,"median","degree centrality"
10,"S70",0.84,"median","degree centrality"
11,"S70",0.84,"median","degree centrality"
12,"S70",0.84,"median","degree centrality"
13,"S70",0.84,"median","degree centrality"
14,"S70",0.71,"median","degree centrality"
15,"S70",0.8,"median","degree centrality"
16,"S70",0.8,"median","degree centrality"
17,"S70",0.81,"median","degree centrality"
18,"S70",0.83,"median","degree centrality"
19,"S70",0.83,"median","degree centrality"
20,"S70",0.84,"median","degree centrality"
21,"S70",0.84,"median","degree centrality"
22,"S70",0.85,"median","degree centrality"
23,"S70",0.64,"median","degree centrality"
24,"S70",0.76,"median","degree centrality"
25,"S70",0.79,"median","degree centrality"
26,"S70",0.84,"median","degree centrality"
27,"S70",0.84,"median","degree centrality"
28,"S70",0.84,"median","degree centrality"
29,"S70",0.85,"median","degree centrality"
30,"S70",0.85,"median","degree centrality"
31,"S70",0.74,"median","degree centrality"
32,"S70",0.76,"median","degree centrality"
33,"S70",0.83,"median","degree centrality"
34,"S70",0.85,"median","degree centrality"
35,"S70",0.85,"median","degree centrality"
2,"S60",0.72,"median","degree centrality"
3,"S60",0.74,"median","degree centrality"
4,"S60",0.78,"median","degree centrality"
5,"S60",0.79,"median","degree centrality"
6,"S60",0.7,"median","degree centrality"
7,"S60",0.72,"median","degree centrality"
8,"S60",0.72,"median","degree centrality"
9,"S60",0.74,"median","degree centrality"
10,"S60",0.77,"median","degree centrality"
11,"S60",0.78,"median","degree centrality"
12,"S60",0.79,"median","degree centrality"
13,"S60",0.79,"median","degree centrality"
14,"S60",0.64,"median","degree centrality"
15,"S60",0.74,"median","degree centrality"
16,"S60",0.72,"median","degree centrality"
17,"S60",0.75,"median","degree centrality"
18,"S60",0.78,"median","degree centrality"
19,"S60",0.77,"median","degree centrality"
20,"S60",0.78,"median","degree centrality"
21,"S60",0.79,"median","degree centrality"
22,"S60",0.79,"median","degree centrality"
