"","cc","diam","edge.dens","btwn","eigen","path.length","size","mod","mean.deg","mean.in","mean.out","names","num.graphs","network","btwn_me","eigen_me","diam_me","cc_me","mod_me","ed_me"
"1",0.308924485125858,0.0603448275862069,0.0304347826086957,0.000434651095504879,0.16813864333895,0.0179315979265269,116,0.665568,0.0608695652173913,0.0304347826086957,0.0304347826086957,"ta2",2,"EIA1E",16.0950985181567,3.57413593194119,2,-19.6964065349201,-19.2414336010201,NA
"2",0.29359708485164,0.0559006211180124,0.0248835403726708,0.00110844173600531,0.154823133547476,0.019613631532957,161,0.649107555344679,0.0497670807453416,0.0248835403726708,0.0248835403726708,"ta3",3,"EIA1E",24.2967164292355,3.89178004736629,-1,-36.6284989552634,-15.7902120996625,NA
"3",0.2578125,0.0505836575875486,0.0144698443579767,0.0012553525787747,0.0994671425418075,0.0169486376363046,257,0.665617770265717,0.0289396887159533,0.0144698443579767,0.0144698443579767,"ta4",4,"EIA1E",25.8453999280157,5.3604523765609,-3,-55.5469213485349,-19.4799460184351,NA
"4",0.282223932281647,0.0575539568345324,0.0171155494377062,0.00197015515824666,0.0892098952317437,0.0177693374092596,278,0.689343831731179,0.0342310988754123,0.0171155494377062,0.0171155494377062,"ta5",5,"EIA1E",31.0290127515349,6.35860940857666,-8,-55.70058228313,-23.9866038982263,NA
"21",0.308924485125858,0.0603448275862069,0.0304347826086957,0.000434651095504879,0.16813864333895,0.0179315979265269,116,0.665568,0.0608695652173913,0.0304347826086957,0.0304347826086957,"ta2",2,"EIA1L",13.4676658126409,3.08657054132545,2,-16.3059331939481,-13.063877257366,NA
"31",0.27008547008547,0.0559006211180124,0.0171583850931677,0.00112113754443533,0.138838981333973,0.0202474690663667,161,0.64097471803928,0.0343167701863354,0.0171583850931677,0.0171583850931677,"ta2",2,"EIA1L",9.49247739645255,2.78096869466436,1.5,-23.9511426017725,-11.1250298440303,NA
"41",0.29359708485164,0.0559006211180124,0.0248835403726708,0.00110844173600531,0.154823133547476,0.019613631532957,161,0.649107555344679,0.0497670807453416,0.0248835403726708,0.0248835403726708,"ta3",3,"EIA1L",21.8290461517509,3.38911764892847,-Inf,-25.6777818157033,-18.051909841314,NA
"5",0.244551372771016,0.0505836575875486,0.0114451605058366,0.00126560473411154,0.101117899576732,0.0172123464628581,257,0.670121626420454,0.0228903210116732,0.0114451605058366,0.0114451605058366,"ta3",3,"EIA1L",14.8098689935138,4.23678042180495,-1,-34.4070799200501,-14.5969247829401,NA
"6",0.2578125,0.0505836575875486,0.0144698443579767,0.0012553525787747,0.0994671425418075,0.0169486376363046,257,0.665617770265717,0.0289396887159533,0.0144698443579767,0.0144698443579767,"ta4",4,"EIA1L",25.010816894574,4.28274903860825,-7,-39.5779320709037,-18.2317638277508,NA
"7",0.274251497005988,0.0611510791366906,0.0145313352206322,0.0019947626892992,0.0950642165548589,0.0180840223802719,278,0.68167535612404,0.0290626704412643,0.0145313352206322,0.0145313352206322,"ta4",4,"EIA1L",28.9614717324346,5.5139313151808,-8,-66.4929998109377,-23.2789587772681,NA
"8",0.282223932281647,0.0575539568345324,0.0171155494377062,0.00197015515824666,0.0892098952317437,0.0177693374092596,278,0.689343831731179,0.0342310988754123,0.0171155494377062,0.0171155494377062,"ta5",5,"EIA1L",45.0825648723993,6.88323427400715,-8,-46.8880077770467,-23.7218523406092,NA
"22",0.27008547008547,0.0559006211180124,0.0171583850931677,0.00112113754443533,0.138838981333973,0.0202474690663667,161,0.64097471803928,0.0343167701863354,0.0171583850931677,0.0171583850931677,"ta2",2,"EIA2",9.33954920311613,3.5797686232294,1.5,-22.181305378885,-11.4167994486846,NA
"32",0.218666666666667,0.0344827586206897,0.0101880877742947,0.000346255443706718,0.106457641981792,0.0126534521854719,232,0.6984375,0.0203761755485893,0.0101880877742947,0.0101880877742947,"ta2",2,"EIA2",9.06262103104123,4.13823507582133,2.33333333333333,-23.8574574479633,-11.7128726412982,NA
"42",0.29359708485164,0.0559006211180124,0.0248835403726708,0.00110844173600531,0.154823133547476,0.019613631532957,161,0.649107555344679,0.0497670807453416,0.0248835403726708,0.0248835403726708,"ta3",3,"EIA2",17.9883943123701,3.83347442847062,-Inf,-29.0576642275546,-14.4360931958456,NA
"51",0.244551372771016,0.0505836575875486,0.0114451605058366,0.00126560473411154,0.101117899576732,0.0172123464628581,257,0.670121626420454,0.0228903210116732,0.0114451605058366,0.0114451605058366,"ta3",3,"EIA2",14.2872665875391,3.00897753673183,-1,-34.0267565031269,-13.2391699226151,NA
